   name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,ass,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40 
White Deer Run,Lewisburg,115 Farley Circle,Suite 303,Lewisburg,PA,17837,,Union,570-522-0873,,,,http://www.whitedeerrun.com,40.9639268,-76.9093396,SA,2018-04-06 10:29:24.881,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,1,,1,1,1,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,1,1,,,,,,1,,1,,,,,1,,,,1,1,,,,1,1,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia,,201 East Main Street,,Middleburg,PA,17842,,Snyder,570-837-2208,,,,http://,40.788619,-77.0434602,SA,2017-09-25 10:32:18.429,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,1,1,,,1,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,1,,1,1,1,1,1,,,1,,1,,1,,1,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Conewago,Snyder,18336 Route 522,,Beavertown,PA,17813,,Snyder,570-658-7383 x2907,,570-658-7383 x2904,,http://www.firetree.com,40.748722,-77.191175,SA,2017-02-01 17:30:00,1,,,,,,,,,1,,1,,,,,,1,,,,1,,1,1,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,,1,1,1,,,1,1,1,1,,1,1,,,,,,,1,,1,1,1,,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Services Clinic,,352 Arch Street,,Sunbury,PA,17801,,Northumberland,570-286-5081,,,,http://,40.8627985776115,-76.7910996685905,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,1,,1,1,1,,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,,,1,1,,1,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia Inc,Sunbury,51 South 4th Street,,Sunbury,PA,17801,,Northumberland,570-988-1901,,,,http://www.gaudenzia.org,40.8601904,-76.7919232,SA,2017-07-26 13:53:16.51,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,1,,1,1,,,,,,1,,,,,1,1,1,1,1,1,,1,1,1,1,,,,,,,1,,1,1,1,1,1,1,,1,1,,,1,,1,1,1,1,1,,,1,,1,,,,,,,,1,1,1,,,,,1,,,1,,,,1,1,,,1,1,1,1,,,1,,,,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Services Clinic,,405 Bloom Road,,Danville,PA,17821,,Montour,570-286-5081,,,,http://,40.9651207,-76.6035724,SA,2017-03-21 13:52:55,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,,1,,1,,,1,,,,1,1,,1,,,,,1,1,,1,,1,,1,1,,,1,1,1,1,,,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Inc,,1873 Shumway Road,,Wellsboro,PA,16901,,Tioga,570-948-9111,,,,http://,41.7233581,-77.2686097,SA,2017-02-01 17:30:00,1,,,,,1,,,1,1,1,1,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,1,,1,1,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,,,,1,,,,,1,,1,1,1,1,,1,1,1,1,1,,,,1,,1,1,,,,1,1,1,,,1,,1,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbor Counseling,,7095 Route 287 South on Nessmuk Lake,,Wellsboro,PA,16901,,Tioga,570-724-5272,,,,http://www.harbor-counseling.org/,41.7269302,-77.2877721,SA,2018-03-09 14:12:57.214,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,1,1,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,1,1,,,,,1,,,1,,,,,1,,1,,,,1,,,,1,,1,,1,1,,,1,1,1,1,,1,,,1,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Clear Concepts Counseling,,218 West High Street,,Bellefonte,PA,16823,,Centre,814-355-7629,,,,http://www.clearconceptscounseling.com,40.911644,-77.779801,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Services Inc,,210 1/2 West High Street,,Bellefonte,PA,16823,,Centre,814-357-5953,,888-694-9996,,http://www.pyramidhealthcarepa.com/,40.9113907,-77.7800878,SA,2018-03-09 12:54:21.97,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,1,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,,,,,1,,,1,,1,,,1,1,1,,1,,,,1,,1,,,,,1,,,,,1,1,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological Services,,140 Market Street,,Bloomsburg,PA,17815,,Columbia,570-389-1249,,,570-286-5081,http://,41.0031760405281,-76.4585172673351,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,,1,1,,,,,1,1,1,1,1,,,,,1,,,,,,,1,1,,1,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Genesis House/Bloomsburg,,320 East Second Street,,Bloomsburg,PA,17815,,Columbia,570-784-4073,Intakes,570-784-4073 x3009,570-784-4073 x3010,http://genesishouseoutpatient.com/,41.0046131,-76.4532833,SA,2018-03-09 12:54:46.208,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,1,,,,,,,,,,1,,1,,,,,,,,1,1,,,1,,,1,,1,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Merakey Behavioral Health,,11 Anthra Plaza,148 State Route 2026,Coal Township,PA,17866,,Northumberland,570-644-0808 x202,Intakes,570-644-0808 x212,570-644-0808 x208,http://www.nhsonline.org,40.7856045,-76.583499,SA,2018-07-03 14:13:32.71,1,,,,,1,1,,1,1,1,1,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,,,1,,1,1,1,1,1,,,1,,1,,,1,,,,1,1,1,1,,1,,1,1,1,,,,1,1,,1,,,1,1,1,1,,,1,,,,1,,,1,1,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Clear Concepts Counseling,,287 East Industrial Drive,Suite 102,Mifflintown,PA,17059,,Juniata,717-436-9634,,,,http://www.clearconceptscounseling.com,40.582649,-77.363207,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,1,1,1,1,1,,,1,,1,,,,,,,,1,,1,,,,,,,,1,,1,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Counseling Inc,,444 East College Avenue,Suite 460,State College,PA,16801,,Centre,814-231-0940,,,,http://www.crossroadscounselinginc.com,40.7986644,-77.8557102,SA,2017-02-01 17:30:00,1,,,,,1,,,1,1,1,1,,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,1,,,,,1,,1,,,,,,,,1,,1,1,1,1,,1,,1,1,1,,1,,1,1,1,1,1,,,1,,1,,,,,1,,1,1,1,1,,1,,,1,1,,1,,1,1,1,1,,,,1,1,1,,,,1,1,,,,1,1,1,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Centre Counseling Associates,,103 East Beaver Avenue,Suite 5,State College,PA,16801,,Centre,814-861-2055,,,814-238-1018,http://,40.793477,-77.860281,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,1,1,,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,,1,,1,,,1,,,,1,1,,1,,1,,1,,1,,1,,1,,1,1,,,,1,1,1,,,1,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Concepts Counseling,,24 North Main Street,,Lewistown,PA,17044,,Mifflin,717-242-3070,,,,http://www.clearconceptscounseling.com,40.597770162342,-77.5748365550928,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,,,,1,,,1,,,,,1,,1,,1,,,,,,1,,,,1,1,,,,1,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
State College Medical,,3091 Enterprise Drive,Suite 150,State College,PA,16801,,Centre,814-235-6988,,,,http://www.statecollegemedical.net,40.766274,-77.882279,SA,2017-02-01 17:30:00,1,,1,,,,,,,,,,1,,,,,,,1,1,1,,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,,,1,1,1,1,,1,,,1,,,,,,,,1,1,1,,1,,,,1,,,,,,1,1,,,,1,1,1,,,1,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Naaman Center,,295 State Drive,,Elizabethville,PA,17023,,Dauphin,888-243-4316,,,717-367-9115,http://www.naamancenter.com,40.558173,-76.7934046,SA,2018-03-09 12:54:48.908,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,1,1,,,,1,1,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid Healthcare,Belleville,3893 West Main Street,,Belleville,PA,17004,,Mifflin,717-935-5400 x2202,,888-694-9996,,http://,40.6045289,-77.7286874,SA,2018-01-29 16:13:41.591,1,,,,,,,,1,,1,1,,,,,,,,,,1,,1,1,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,1,,,1,1,,1,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,1,,1,,1,,,1,1,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Creek Recovery Center,,890 Bethel Hill Road,,Shickshinny,PA,18655,,Luzerne,570-991-6256,,,,http://huntingtoncreekrecovery.com,41.246531,-76.234072,SA,2018-04-05 13:09:43.291,1,1,,,,,,,1,1,,1,,,,,,,,,,1,,1,1,1,,1,,,1,,1,,1,,,,,,,,1,,,,,,,,,,1,1,1,,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,1,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,1,,1,,,1,,1,1,1,1,,1,1,1,,1,,,,1,,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming Valley Alcohol and Drug Servs,,120 Rear East Third Street,,Berwick,PA,18603,,Columbia,570-354-0091,,,,http://,41.0574764,-76.2313282,SA,2018-05-22 12:12:19.166,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia Inc,,205 Chestnut Street,Suite 2,Berwick,PA,18603,,Columbia,570-752-2985,,,,http://www.gaudenzia.org,41.0571487,-76.2309382,SA,2018-03-09 12:54:47.089,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,1,,1,1,1,,,,,1,,1,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,1,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Laurel Recovery Center,,355 Church Street,,Westfield,PA,16950,,Tioga,888-909-7989,,877-560-2514,,http://www.mountainlaurelrecoverycenter.com,41.9132759,-77.5375664,SA,2017-07-14 10:43:47.437,1,1,,,,,,1,,1,,,,,,,,,,,,1,,1,1,1,,1,,,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,1,,,,,,,,,,,,1,,,1,,,,1,1,,1,,,,,1,1,1,1,1,,,1,1,1,,1,,,1,1,,,1,,,1,1,1,1,,,,,1,,,1,,1,,,,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visualize Change LLC,,913 Centre Street,,Ashland,PA,17921,,Schuylkill,570-875-3333,,,,http://,40.7824979,-76.343342,SA,2017-10-03 11:37:05.367,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,1,,,,,,,,,,1,,,,,1,,1,1,1,1,,,,,1,,,,,,,,,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,1,,,1,,1,,,1,,,,1,1,,1,,,,,,,,1,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
